id AfectDimen,id Amenaza,id Dimensio,Abrabiatura
1,1,1,D
2,2,1,D
3,3,1,D
4,4,1,D
5,5,1,D
6,6,1,D
7,7,1,D
8,8,1,D
9,9,1,D
10,10,1,D
11,11,1,D
12,12,1,D
13,13,1,D
14,14,1,D
15,15,3,C
16,16,1,D
17,16,2,I
18,16,3,C
19,17,1,D
20,17,2,I
21,17,3,C
22,18,2,I
23,18,5,T
24,19,2,I
25,20,1,D
26,21,1,D
27,21,2,I
28,21,3,C
29,22,3,C
30,23,2,I
31,24,3,C
32,25,2,I
33,26,1,D
34,27,3,C
35,28,2,I
36,28,1,D
37,28,3,C
38,29,2,I
39,29,1,D
40,30,1,D
41,31,1,D
42,32,1,D
43,32,3,C
44,33,1,D
45,34,2,I
46,34,5,T
47,35,2,I
48,35,3,C
49,35,1,D
50,36,3,C
51,36,4,A
52,36,2,I
53,37,3,C
54,37,2,I
55,37,1,D
56,38,1,D
57,38,3,C
58,38,2,I
59,39,1,D
60,39,2,I
61,39,3,C
62,40,3,C
63,41,2,I
64,42,3,C
65,42,2,I
66,43,3,C
67,44,2,I
68,44,5,T
69,45,3,C
70,46,2,I
71,47,1,D
72,48,3,C
73,49,3,C
74,49,2,I
75,49,1,D
76,50,3,C
77,50,1,D
78,51,1,D
79,52,1,D
80,52,3,C
81,53,1,D
82,54,1,D
83,54,3,C
84,55,1,D
85,56,3,C
86,56,2,I
87,56,1,D
88,57,3,C
89,57,2,I
90,57,1,D